"Page","Impressions","Clicks","CTR","Avg. Position"
"https://serenfermera.com/cuidados-de-enfermeria-oms/","1564","48","3.0700000000000003%","4.120821739130435"
"https://serenfermera.com/plan-de-cuidados-enfermeria-ejemplopaso-a-paso/","1231","57","4.63%","3.6279476035743303"
"https://serenfermera.com/venoclisis-cuidados-de-enfermeria/","925","10","1.08%","6.397825297297299"
"https://serenfermera.com/cuidados-de-enfermeria-toma-de-signos-vitales/","858","19","2.21%","6.470867832167833"
"https://serenfermera.com/plan-de-cuidados-de-enfermeria-postoperatorio/","799","12","1.5%","6.596995869837296"
"https://serenfermera.com/ejemplo-calculo-balance-hidrico-auxiliar-enfermeria/","768","41","5.34%","4.776037369791666"
"https://serenfermera.com/proceso-salud-enfermedad-en-enfermeria/","539","21","3.9%","5.230057513914656"
"https://serenfermera.com/hoja-de-cuidados-de-enfermeria/","537","6","1.12%","6.797011173184357"
"https://serenfermera.com/tecnicas-basicas-enfermeria-movilizacion-paciente/","507","7","1.3800000000000001%","6.4635173570019715"
"https://serenfermera.com/via-topica-cuidados-de-enfermeria/","507","7","1.3800000000000001%","5.142014595660751"
"https://serenfermera.com/metaparadigma-de-enfermeria-cuidado/","494","12","2.43%","5.388668623481781"
"https://serenfermera.com/procedimientos-y-tecnicas-basicas-de-enfermeria/","469","18","3.84%","4.675909381663113"
"https://serenfermera.com/como-hacer-el-sao-fct-auxiliar-de-enfermeria/","456","1","0.22%","6.361834429824561"
"https://serenfermera.com/principios-eticos-en-enfermeria/","453","28","6.18%","4.463569536423842"
"https://serenfermera.com/cuidados-de-enfermeria-cambios-posturales/","405","5","1.23%","6.451853333333334"
"https://serenfermera.com/ejemplos-de-enfermeria-sbar/","386","5","1.3%","6.0207264248704675"
"https://serenfermera.com/datos-de-enfermeria-subjetivos-vs-objetivo/","371","6","1.62%","4.684635849056604"
"https://serenfermera.com/cuidado-humanizado-en-enfermeria/","367","27","7.36%","4.264301362397821"
"https://serenfermera.com/enfermeria-comunitaria-prevencion-y-promocion-de-la-salud/","311","5","1.61%","6.720254662379422"
"https://serenfermera.com/que-es-gestion-del-cuidado-de-enfermeria/","290","21","7.24%","4.120691724137932"
"https://serenfermera.com/temas-de-salud-de-enfermeria/","284","29","10.21%","3.496480985915493"
"https://serenfermera.com/cuidados-de-enfermeria-en-el-paciente-quirurgico-transoperatorio/","272","11","4.04%","6.0771999999999995"
"https://serenfermera.com/tecnica-saer-enfermeria/","251","7","2.79%","5.816713944223109"
"https://serenfermera.com/enfermeria-cuidado-integral-defiicion/","249","8","3.21%","3.7389626506024096"
"https://serenfermera.com/cuidados-de-enfermeria-en-el-puerperio/","246","18","7.32%","4.182921138211381"
"https://serenfermera.com/cuidados-de-enfermeria-para-irrigacion-vesical/","234","1","0.43%","3.4999931623931624"
"https://serenfermera.com/que-es-el-cuidado-de-la-enfermeria-definicion/","227","16","7.05%","4.863434801762114"
"https://serenfermera.com/cuidados-enfermeria-tablon-en-blanco/","226","2","0.88%","5.053095575221239"
"https://serenfermera.com/funciones-y-tecnicas-asistenciales-del-personal-de-enfermeria-atencion-primari/","221","13","5.88%","5.004510407239819"
"https://serenfermera.com/funciones-procedimientos-y-tareas-auxiliar-enfermeria/","220","5","2.27%","5.804545909090909"
"https://serenfermera.com/enfermeria-en-salud-ocupacional/","209","12","5.74%","4.038271770334928"
"https://serenfermera.com/define-signo-y-sontomas-y-ejemplos-de-auxiliar-de-enfermeria/","205","11","5.37%","4.15610243902439"
"https://serenfermera.com/plan-de-cuidados-y-plan-de-atencion-de-enfermeria/","201","4","1.99%","5.348246268656716"
"https://serenfermera.com/curso-fuden-tablon-en-blanco-cuidados-de-enfermeria-en-urgenciaw/","194","2","1.03%","5.396898453608246"
"https://serenfermera.com/como-hacer-una-hoja-de-cuidados-de-enfermeria/","191","0","0%","6.586395811518326"
"https://serenfermera.com/tecnica-de-lavado-de-manos-clinico-en-enfermeria/","187","1","0.53%","7.524036898395723"
"https://serenfermera.com/valores-profesionales-de-enfermeria/","187","15","8.02%","3.1016069518716582"
"https://serenfermera.com/diferentes-tipos-de-shock-y-cuidados-de-enfermeria/","169","3","1.78%","7.852062721893492"
"https://serenfermera.com/proceso-atencion-enfermeria-plan-de-cuidados-de-enfermeria-ejemplos/","168","6","3.5700000000000003%","9.636899404761905"
"https://serenfermera.com/registro-de-cuidados-de-enfermeria/","167","3","1.8%","5.982020359281438"
"https://serenfermera.com/cuidados-de-enfermeria-en-la-unidad-quirurgica/","167","4","2.4%","6.664665269461078"
"https://serenfermera.com/cuidados-paliativos-enfermo-terminal-enfermeria/","163","5","3.0700000000000003%","6.380363803680981"
"https://serenfermera.com/cuidados-de-enfermeria-en-tococirugia/","163","5","3.0700000000000003%","4.631912883435583"
"https://serenfermera.com/tablon-en-blanco-actualizacion-para-enfermeria-de-salud-mental/","154","2","1.3%","6.909079220779221"
"https://serenfermera.com/cuidados-de-enfermeria-en-dialisis-y-hemodialisis/","146","9","6.16%","5.458904109589041"
"https://serenfermera.com/cuidados-de-enfermeria-en-unidad-de-cuidados-intensivos/","135","8","5.93%","6.39258"
"https://serenfermera.com/cuidados-dependientes-independientes-e-interdependientes-de-enfermeria/","123","4","3.25%","5.390244715447155"
"https://serenfermera.com/cuidados-enfermeria-de-herida-con-costra/","123","1","0.81%","5.5365878048780495"
"https://serenfermera.com/importancia-de-la-promocion-de-la-salud-en-enfermeria/","115","2","1.74%","4.304334782608696"
"https://serenfermera.com/cuidados-de-enfermeria-en-paciente-intubado/","105","3","2.86%","5.380952380952381"
"https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-con-enfermedades-respiratorias/","103","4","3.88%","5.271854368932039"
"https://serenfermera.com/lavado-gastrico-tecnica-enfermeria/","99","0","0%","6.15149494949495"
"https://serenfermera.com/valoracion-cuidados-enfermeria/","96","3","3.12%","7.458342708333333"
"https://serenfermera.com/evisceracion-cuidados-de-enfermeria/","95","0","0%","6.705264210526315"
"https://serenfermera.com/tecnica-cateter-enfermeria/","91","1","1.1%","5.791208791208791"
"https://serenfermera.com/cuidados-de-enfermeria-al-ingreso-del-paciente/","88","2","2.27%","5.704572727272727"
"https://serenfermera.com/gasometria-arterial-tecnica-enfermeria/","86","1","1.16%","6.453479069767443"
"https://serenfermera.com/cualidades-de-una-buena-enfermera/","84","5","5.95%","4.202372619047619"
"https://serenfermera.com/dilema-etico-en-ejemplos-de-enfermeria/","80","6","7.5%","3.6125025"
"https://serenfermera.com/tecnica-para-toma-de-papanicolaou-enfermeria/","78","4","5.13%","5.192289743589744"
"https://serenfermera.com/plantillas-salud-enfermeria-gratis/","75","3","4%","6.373344"
